13:18:54.800, Log started,
13:19:00.823, Log finished,
13:19:29.527, Log started,
13:19:29.599, Direct device beacon 2,
13:19:44.124, Log finished,
13:19:49.675, Log started,
13:19:54.354, Direct device master,
13:22:33.476, Radio device beacon 1,
13:32:31.491, Log finished,
13:32:37.197, Log started,
13:32:37.268, Direct device master,
13:32:59.047, Radio device beacon 1,
13:32:59.048, Beacon 1-5, 25,
13:33:15.533, Beacon 1-5, 26,
13:34:03.138, Log finished,
13:34:07.767, Log started,
13:34:07.835, Direct device master,
13:34:12.335, Radio device beacon 1,
13:34:12.336, Beacon 1-5, 26,
13:34:14.729, Beacon 1-5, 25,
13:34:17.164, Beacon 1-15, 27,
13:34:19.598, Beacon 1-3, 26,
13:34:22.035, Beacon 1-5, 26,
13:34:24.470, Beacon 1-15, 26,
13:34:26.906, Beacon 1-5, 25,
13:34:29.341, Beacon 1-15, 26,
13:34:31.777, Beacon 1-15, 25,
13:34:34.212, Beacon 1-5, 25,
13:34:39.083, Beacon 1-15, 26,
13:34:41.519, Beacon 1-5, 25,
13:34:43.954, Beacon 1-5, 25,
13:34:46.390, Beacon 1-15, 25,
13:34:48.825, Beacon 1-15, 25,
13:34:51.261, Beacon 1-15, 25,
13:34:53.696, Beacon 1-5, 26,
13:34:56.132, Beacon 1-5, 26,
13:34:58.568, Beacon 1-5, 26,
13:35:01.003, Beacon 1-5, 26,
13:35:03.438, Beacon 1-15, 25,
13:35:05.874, Beacon 1-3, 26,
13:35:08.309, Beacon 1-5, 25,
13:35:10.745, Beacon 1-3, 27,
13:35:13.180, Beacon 1-15, 27,
13:35:15.616, Beacon 1-5, 26,
13:35:18.050, Beacon 1-16, 27,
13:35:20.487, Beacon 1-5, 25,
13:35:22.922, Beacon 1-5, 25,
13:35:25.358, Beacon 1-15, 26,
13:35:27.792, Beacon 1-5, 26,
13:35:30.229, Beacon 1-15, 27,
13:35:32.664, Beacon 1-15, 25,
13:35:35.099, Beacon 1-5, 24,
13:35:39.971, Beacon 1-3, 27,
13:35:42.406, Beacon 1-15, 25,
13:35:44.842, Beacon 1-3, 27,
13:35:47.277, Beacon 1-15, 26,
13:35:49.713, Beacon 1-5, 25,
13:35:52.148, Beacon 1-5, 24,
13:35:54.585, Beacon 1-5, 25,
13:35:57.018, Beacon 1-15, 28,
13:35:59.455, Beacon 1-15, 26,
13:36:01.890, Beacon 1-5, 26,
13:36:04.325, Beacon 1-15, 27,
13:36:06.761, Beacon 1-5, 22,
13:36:09.200, Beacon 1-15, 26,
13:36:11.632, Beacon 1-15, 25,
13:36:14.068, Beacon 1-15, 26,
13:36:16.503, Beacon 1-5, 27,
13:36:18.939, Beacon 1-15, 25,
13:36:21.375, Beacon 1-5, 27,
13:36:23.810, Beacon 1-5, 26,
13:36:26.245, Beacon 1-5, 25,
13:36:28.681, Beacon 1-5, 26,
13:36:31.116, Beacon 1-5, 27,
13:36:33.552, Beacon 1-5, 26,
13:36:35.987, Beacon 1-15, 25,
13:36:40.858, Beacon 1-5, 26,
13:36:43.294, Beacon 1-5, 25,
13:36:45.729, Beacon 1-5, 25,
13:36:48.165, Beacon 1-15, 26,
13:36:50.601, Beacon 1-5, 26,
13:36:53.035, Beacon 1-5, 26,
13:36:55.471, Beacon 1-5, 23,
13:36:57.907, Beacon 1-5, 25,
13:37:00.343, Beacon 1-16, 27,
13:37:02.778, Beacon 1-15, 26,
13:37:05.213, Beacon 1-15, 26,
13:37:07.649, Beacon 1-5, 26,
13:37:10.084, Beacon 1-5, 26,
13:37:12.520, Beacon 1-15, 26,
13:37:14.955, Beacon 1-15, 25,
13:37:17.391, Beacon 1-5, 25,
13:37:19.827, Beacon 1-15, 25,
13:37:22.262, Beacon 1-15, 26,
13:37:24.697, Beacon 1-5, 27,
13:37:27.133, Beacon 1-5, 26,
13:37:32.004, Beacon 1-15, 26,
13:37:34.440, Beacon 1-15, 26,
13:37:36.875, Beacon 1-15, 25,
13:37:41.746, Beacon 1-15, 26,
13:37:44.181, Beacon 1-5, 27,
13:37:46.617, Beacon 1-15, 26,
13:37:49.052, Beacon 1-5, 25,
13:37:51.489, Beacon 1-5, 26,
13:37:53.924, Beacon 1-15, 26,
13:37:56.359, Beacon 1-5, 24,
13:37:58.795, Beacon 1-15, 26,
13:38:01.230, Beacon 1-5, 25,
13:38:03.666, Beacon 1-3, 26,
13:38:06.101, Beacon 1-15, 25,
13:38:08.537, Beacon 1-15, 26,
13:38:10.973, Beacon 1-5, 26,
13:38:13.407, Beacon 1-5, 26,
13:38:15.843, Beacon 1-15, 27,
13:38:18.279, Beacon 1-15, 26,
13:38:20.714, Beacon 1-5, 26,
13:38:23.151, Beacon 1-15, 24,
13:38:25.585, Beacon 1-15, 27,
13:38:28.021, Beacon 1-5, 26,
13:38:30.456, Beacon 1-5, 25,
13:38:32.892, Beacon 1-15, 24,
13:38:35.327, Beacon 1-5, 27,
13:38:37.762, Beacon 1-5, 24,
13:38:42.634, Beacon 1-15, 25,
13:38:45.069, Beacon 1-5, 26,
13:38:47.504, Beacon 1-5, 25,
13:38:49.940, Beacon 1-5, 26,
13:38:52.376, Beacon 1-15, 25,
13:38:54.811, Beacon 1-15, 27,
13:38:57.246, Beacon 1-5, 26,
13:38:59.682, Beacon 1-5, 26,
13:39:02.118, Beacon 1-5, 27,
13:39:04.553, Beacon 1-15, 25,
13:39:06.989, Beacon 1-5, 25,
13:39:09.424, Beacon 1-5, 26,
13:39:11.860, Beacon 1-15, 27,
13:39:14.295, Beacon 1-5, 24,
13:39:16.731, Beacon 1-16, 27,
13:39:19.166, Beacon 1-5, 27,
13:39:21.601, Beacon 1-5, 27,
13:39:24.048, Beacon 1-5, 26,
13:39:26.474, Beacon 1-15, 27,
13:39:28.908, Beacon 1-15, 26,
13:39:31.345, Beacon 1-5, 27,
13:39:33.780, Beacon 1-15, 25,
13:39:36.215, Beacon 1-15, 27,
13:39:38.650, Beacon 1-5, 27,
13:39:43.522, Beacon 1-15, 26,
13:39:45.957, Beacon 1-15, 26,
13:39:48.392, Beacon 1-5, 26,
13:39:50.828, Beacon 1-15, 25,
13:39:53.263, Beacon 1-5, 26,
13:39:55.699, Beacon 1-15, 27,
13:39:58.134, Beacon 1-15, 25,
13:40:00.570, Beacon 1-15, 27,
13:40:03.006, Beacon 1-15, 25,
13:40:05.442, Beacon 1-15, 26,
13:40:07.876, Beacon 1-15, 26,
13:40:10.312, Beacon 1-15, 26,
13:40:12.749, Beacon 1-5, 27,
13:40:15.183, Beacon 1-15, 26,
13:40:17.618, Beacon 1-5, 25,
13:40:20.054, Beacon 1-15, 25,
13:40:22.489, Beacon 1-5, 25,
13:40:24.926, Beacon 1-5, 26,
13:40:27.361, Beacon 1-15, 27,
13:40:29.796, Beacon 1-5, 26,
13:40:32.231, Beacon 1-15, 27,
13:40:34.667, Beacon 1-5, 25,
13:40:37.103, Beacon 1-5, 25,
13:40:39.539, Beacon 1-15, 27,
13:40:44.409, Beacon 1-15, 25,
13:40:46.844, Beacon 1-5, 27,
13:40:49.280, Beacon 1-15, 27,
13:40:54.151, Beacon 1-15, 25,
13:40:56.587, Beacon 1-15, 26,
13:40:59.023, Beacon 1-15, 25,
13:41:01.458, Beacon 1-5, 26,
13:41:03.893, Beacon 1-5, 24,
13:41:06.329, Beacon 1-5, 25,
13:41:08.775, Beacon 1-5, 25,
13:41:11.199, Beacon 1-5, 24,
13:41:13.636, Beacon 1-15, 25,
13:41:16.071, Beacon 1-15, 25,
13:41:18.506, Beacon 1-5, 26,
13:41:20.942, Beacon 1-15, 26,
13:41:23.378, Beacon 1-15, 24,
13:41:25.813, Beacon 1-15, 26,
13:41:28.248, Beacon 1-5, 26,
13:41:30.684, Beacon 1-15, 24,
