21:11:25.325, error
21:11:25.520, -11, 21
21:11:25.779, -10, 23
21:11:26.044, -11, 28
21:11:26.290, -11, 27
21:11:26.548, -11, 28
21:11:26.804, -11, 26
21:11:27.060, -11, 28
21:11:27.318, -11, 29
21:11:27.575, -11, 28
21:11:27.833, -11, 27
21:11:28.089, -11, 28
21:11:28.347, -11, 29
21:11:28.603, -11, 29
21:11:28.861, -11, 30
21:11:29.118, -11, 28
21:11:29.375, -11, 30
21:11:29.631, -11, 31
21:11:29.888, -11, 28
21:11:30.145, -11, 30
21:11:30.402, -11, 28
21:11:30.659, -11, 28
21:11:30.915, -11, 28
21:11:31.172, -11, 29
21:11:31.429, -11, 30
21:11:31.686, -11, 28
21:11:31.943, -11, 30
21:11:32.200, -11, 31
21:11:32.456, -11, 28
21:11:32.714, -11, 30
21:11:32.969, -11, 28
21:11:33.226, -11, 28
21:11:33.484, -11, 27
21:11:33.741, -11, 29
21:11:33.997, -11, 28
21:11:34.254, -11, 31
21:11:34.511, -11, 28
21:11:34.768, -11, 31
21:11:35.025, -11, 28
21:11:35.282, -11, 28
21:11:35.539, -11, 30
21:11:35.795, -11, 28
21:11:36.052, -11, 30
21:11:36.309, -11, 29
21:11:36.565, -11, 28
21:11:36.823, -11, 28
21:11:37.079, -11, 30
21:11:37.337, -11, 29
21:11:37.593, -11, 29
21:11:37.849, -11, 28
21:11:38.106, -11, 28
21:11:38.363, -11, 31
21:11:38.620, -11, 28
21:11:38.877, -11, 30
21:11:39.134, -11, 27
21:11:39.391, -11, 30
21:11:39.649, -11, 30
21:11:39.908, -11, 28
21:11:40.163, -11, 29
21:11:40.419, -11, 30
21:11:40.676, -11, 29
21:11:40.933, -11, 27
21:11:41.190, -11, 30
21:11:41.446, -11, 27
21:11:41.703, -11, 28
21:11:41.960, -11, 28
21:11:42.217, -11, 30
21:11:42.474, -11, 28
21:11:42.731, -11, 29
21:11:42.991, -11, 29
21:11:43.244, -11, 29
21:11:43.501, -11, 28
21:11:43.758, -11, 27
21:11:44.016, -11, 28
21:11:44.273, -11, 31
21:11:44.530, -11, 28
21:11:44.787, -11, 30
21:11:45.043, -11, 30
21:11:45.302, -11, 29
21:11:45.558, -11, 28
21:11:45.814, -11, 29
21:11:46.072, -11, 28
21:11:46.328, -11, 29
21:11:46.587, -11, 30
21:11:46.843, -11, 28
21:11:47.105, -11, 29
21:11:47.357, -11, 29
21:11:47.616, -11, 28
21:11:47.870, -11, 29
21:11:48.126, -11, 30
21:11:48.384, -11, 28
21:11:48.642, -11, 27
21:11:48.898, -11, 30
21:11:49.154, -11, 31
21:11:49.410, -11, 27
21:11:49.668, -11, 30
21:11:49.930, -11, 29
21:11:50.181, -11, 30
21:11:50.433, -11, 30
21:11:50.689, -11, 30
21:11:51.182, -11, 28
21:11:51.402, -11, 27
21:11:51.622, -11, 26
21:11:51.796, -11, 30
21:11:51.981, -11, 29
21:11:52.231, -11, 28
21:11:52.492, -11, 29
21:11:52.745, -11, 28
21:11:53.003, -11, 28
21:11:53.259, -11, 27
21:11:53.515, -11, 28
21:11:53.772, -11, 28
21:11:54.029, -11, 29
21:11:54.287, -11, 30
21:11:54.544, -11, 27
21:11:54.803, -11, 27
21:11:55.058, -11, 30
21:11:55.315, -11, 29
21:11:55.572, -11, 29
21:11:55.829, -11, 27
21:11:56.086, -11, 29
21:11:56.343, -11, 31
21:11:56.599, -11, 28
21:11:56.856, -11, 29
21:11:57.113, -11, 27
21:11:57.370, -11, 28
21:11:57.627, -11, 29
21:11:57.885, -11, 28
21:11:58.141, -11, 28
21:11:58.397, -11, 30
21:11:58.656, -11, 30
21:11:58.917, -11, 30
21:11:59.171, -11, 29
21:11:59.427, -11, 29
21:11:59.683, -11, 28
21:11:59.940, -11, 29
21:12:00.197, -11, 29
21:12:00.454, -11, 29
21:12:00.711, -11, 28
21:12:00.967, -11, 28
21:12:01.224, -11, 27
21:12:01.481, -11, 28
21:12:01.738, -11, 27
21:12:01.995, -11, 28
21:12:02.251, -11, 26
21:12:02.508, -11, 29
21:12:02.766, -11, 26
21:12:03.022, -11, 28
21:12:03.279, -11, 30
21:12:03.536, -11, 28
21:12:03.793, -11, 29
21:12:04.049, -11, 29
21:12:04.307, -11, 28
21:12:04.563, -11, 28
21:12:04.820, -11, 28
21:12:05.077, -11, 27
21:12:05.335, -11, 29
21:12:05.590, -11, 28
21:12:05.848, -11, 28
21:12:06.104, -11, 28
21:12:06.364, -11, 29
21:12:06.618, -11, 29
21:12:06.875, -11, 28
21:12:07.135, -11, 29
21:12:07.389, -11, 30
21:12:07.645, -11, 28
21:12:07.901, -11, 29
21:12:08.158, -11, 29
21:12:08.416, -11, 29
21:12:08.672, -11, 28
21:12:08.929, -11, 28
21:12:09.186, -11, 29
21:12:09.442, -11, 29
21:12:09.700, -11, 28
21:12:09.957, -11, 27
21:12:10.213, -11, 29
21:12:10.474, -11, 31
21:12:10.728, -11, 29
21:12:10.984, -11, 29
21:12:11.240, -11, 29
21:12:11.497, -11, 29
21:12:11.754, -11, 29
21:12:12.010, -11, 29
21:12:12.274, -11, 27
21:12:12.526, -11, 27
21:12:12.784, -11, 28
21:12:13.041, -11, 30
21:12:13.297, -11, 30
21:12:13.554, -11, 27
21:12:13.811, -11, 26
21:12:14.068, -11, 30
21:12:14.325, -11, 29
21:12:14.582, -11, 30
21:12:14.838, -11, 28
21:12:15.095, -11, 29
21:12:15.352, -11, 29
21:12:15.609, -11, 28
21:12:15.870, -11, 28
21:12:16.123, -11, 28
21:12:16.379, -11, 27
21:12:16.636, -11, 28
21:12:16.893, -11, 31
21:12:17.150, -11, 29
21:12:17.408, -11, 28
21:12:17.664, -11, 27
21:12:17.921, -11, 28
21:12:18.178, -11, 28
21:12:18.436, -11, 29
21:12:18.692, -11, 29
21:12:18.948, -11, 29
21:12:19.206, -11, 29
21:12:19.462, -11, 29
21:12:19.719, -11, 31
21:12:19.976, -11, 30
21:12:20.233, -11, 29
21:12:20.490, -11, 29
21:12:20.746, -11, 26
21:12:21.005, -11, 31
21:12:21.260, -11, 28
21:12:21.516, -11, 29
21:12:21.774, -11, 28
21:12:22.031, -11, 29
21:12:22.288, -11, 31
21:12:22.544, -11, 29
21:12:22.801, -11, 30
21:12:23.058, -11, 30
21:12:23.315, -11, 28
21:12:23.572, -11, 29
21:12:23.829, -11, 29
21:12:24.084, -11, 28
21:12:24.342, -11, 29
21:12:24.599, -11, 30
21:12:24.856, -11, 30
21:12:25.113, -11, 28
21:12:25.379, -11, 28
21:12:25.626, -11, 28
21:12:25.883, -11, 29
21:12:26.140, -11, 27
21:12:26.397, -11, 28
21:12:26.654, -11, 27
21:12:26.912, -11, 30
21:12:27.169, -11, 27
21:12:27.425, -11, 29
21:12:27.682, -11, 30
21:12:27.938, -11, 30
21:12:28.196, -11, 28
21:12:28.453, -11, 28
21:12:28.708, -11, 28
21:12:28.967, -11, 29
21:12:29.224, -11, 30
21:12:29.475, -11, 30
21:12:29.732, -11, 29
21:12:29.983, -11, 29
21:12:30.241, -11, 26
21:12:30.497, -11, 27
21:12:30.753, -11, 27
21:12:31.010, -11, 27
21:12:31.268, -11, 30
21:12:31.525, -11, 27
21:12:31.782, -11, 29
21:12:32.038, -11, 30
21:12:32.295, -11, 30
21:12:32.552, -11, 28
21:12:32.809, -11, 29
21:12:33.067, -11, 30
21:12:33.326, -11, 31
21:12:33.580, -11, 30
21:12:33.838, -11, 28
21:12:34.094, -11, 29
21:12:34.351, -11, 29
21:12:34.610, -11, 29
21:12:34.867, -11, 27
21:12:35.123, -11, 28
21:12:35.380, -11, 30
21:12:35.637, -11, 29
21:12:35.893, -11, 27
21:12:36.150, -11, 29
21:12:36.408, -11, 26
21:12:36.665, -11, 30
21:12:36.922, -11, 28
21:12:37.180, -11, 29
21:12:37.436, -11, 30
21:12:37.692, -11, 29
21:12:37.949, -11, 30
21:12:38.205, -11, 28
21:12:38.463, -11, 29
21:12:38.721, -11, 30
21:12:38.977, -11, 28
21:12:39.234, -11, 29
21:12:39.492, -11, 29
21:12:39.746, -11, 27
21:12:40.006, -11, 29
21:12:40.262, -11, 28
21:12:40.518, -11, 29
21:12:40.774, -11, 28
21:12:41.032, -11, 29
21:12:41.288, -11, 31
21:12:41.547, -11, 27
21:12:41.804, -11, 30
21:12:42.061, -11, 29
21:12:42.317, -11, 27
21:12:42.576, -11, 26
21:12:42.832, -11, 30
21:12:43.088, -11, 29
21:12:43.346, -11, 30
21:12:43.603, -11, 27
21:12:43.859, -11, 27
21:12:44.115, -11, 29
21:12:44.373, -11, 27
21:12:44.630, -11, 29
21:12:44.888, -11, 28
21:12:45.145, -11, 28
21:12:45.402, -11, 29
21:12:45.658, -11, 27
21:12:45.908, -11, 27
21:12:46.167, -11, 30
21:12:46.423, -11, 30
21:12:46.680, -11, 29
21:12:46.936, -11, 29
21:12:47.193, -11, 28
21:12:47.450, -11, 29
21:12:47.707, -11, 29
21:12:47.964, -11, 29
21:12:48.220, -11, 27
21:12:48.478, -11, 28
21:12:48.734, -11, 29
21:12:48.991, -11, 27
21:12:49.249, -11, 28
21:12:49.505, -11, 28
21:12:49.762, -11, 28
21:12:50.018, -11, 28
21:12:50.275, -11, 29
21:12:50.533, -11, 27
21:12:50.789, -11, 27
21:12:51.046, -11, 30
21:12:51.302, -11, 29
21:12:51.559, -11, 29
21:12:51.816, -11, 30
21:12:52.073, -11, 28
21:12:52.330, -11, 29
21:12:52.588, -11, 28
21:12:52.846, -11, 29
21:12:53.103, -11, 30
21:12:53.360, -12, 27
21:12:53.618, -11, 29
21:12:53.876, -12, 30
21:12:54.134, -12, 28
21:12:54.391, -11, 28
21:12:54.648, -11, 28
21:12:54.905, -11, 28
21:12:55.161, -11, 28
21:12:55.419, -11, 29
21:12:55.679, -11, 29
21:12:55.935, -12, 27
21:12:56.191, -11, 30
21:12:56.449, -11, 27
21:12:56.706, -11, 29
21:12:56.964, -11, 27
21:12:57.221, -11, 28
21:12:57.477, -11, 29
21:12:57.736, -11, 27
21:12:57.992, -11, 28
21:12:58.250, -11, 28
21:12:58.507, -11, 28
21:12:58.764, -11, 31
21:12:59.022, -11, 30
21:12:59.280, -11, 29
21:12:59.537, -11, 29
21:12:59.795, -11, 29
21:13:00.053, -11, 29
21:13:00.310, -11, 30
21:13:00.566, -11, 30
21:13:00.823, -11, 28
21:13:01.080, -11, 29
21:13:01.337, -11, 29
21:13:01.595, -11, 30
21:13:01.853, -11, 29
21:13:02.111, -11, 29
21:13:02.369, -11, 28
21:13:02.626, -12, 28
21:13:02.884, -11, 30
21:13:03.140, -11, 29
21:13:03.398, -11, 30
21:13:03.655, -11, 28
21:13:03.911, -11, 30
21:13:04.169, -11, 28
21:13:04.426, -11, 30
21:13:04.682, -11, 28
21:13:04.941, -11, 29
21:13:05.197, -11, 27
21:13:05.455, -11, 29
21:13:05.711, -11, 28
21:13:05.972, -11, 30
21:13:06.225, -11, 27
21:13:06.482, -11, 30
21:13:06.741, -11, 29
21:13:07.004, -11, 26
21:13:07.253, -11, 27
21:13:07.510, -11, 29
21:13:07.767, -11, 28
21:13:08.024, -11, 30
21:13:08.282, -11, 28
21:13:08.538, -11, 29
21:13:08.796, -11, 30
21:13:09.046, -11, 30
21:13:09.304, -11, 28
21:13:09.561, -11, 26
21:13:09.818, -11, 31
21:13:10.075, -11, 27
21:13:10.334, -11, 29
21:13:10.591, -11, 29
21:13:10.849, -11, 27
21:13:11.105, -11, 28
21:13:11.362, -11, 29
21:13:11.617, -11, 30
21:13:11.875, -11, 28
21:13:12.134, -11, 29
21:13:12.390, -11, 28
21:13:12.648, -11, 30
21:13:12.905, -11, 27
21:13:13.163, -11, 30
21:13:13.419, -11, 29
21:13:13.676, -11, 29
21:13:13.934, -11, 29
21:13:14.190, -11, 28
21:13:14.448, -11, 28
21:13:14.704, -11, 28
21:13:14.962, -11, 30
21:13:15.219, -11, 28
21:13:15.477, -11, 29
21:13:15.733, -11, 29
21:13:15.991, -11, 28
21:13:16.248, -11, 27
21:13:16.506, -11, 30
21:13:16.764, -11, 27
21:13:17.021, -11, 28
21:13:17.276, -11, 28
21:13:17.534, -11, 28
21:13:17.792, -11, 28
21:13:18.050, -11, 29
21:13:18.306, -11, 27
21:13:18.564, -11, 28
