12:34:40.370, Log started,
12:34:40.468, 1, IsPresent, System.Byte[], ,
12:34:45.019, 1, Timestamp, System.Byte[], ActiveEnergy, System.Byte[], ReactiveEnergy, System.Byte[], ActivePower, System.Byte[], ReactivePower, System.Byte[], ,
12:34:50.036, 1, Timestamp, System.Byte[], ActiveEnergy, System.Byte[], ReactiveEnergy, System.Byte[], ActivePower, System.Byte[], ReactivePower, System.Byte[], ,
12:34:55.038, 1, Timestamp, System.Byte[], ActiveEnergy, System.Byte[], ReactiveEnergy, System.Byte[], ActivePower, System.Byte[], ReactivePower, System.Byte[], ,
12:35:00.053, 1, Timestamp, System.Byte[], ActiveEnergy, System.Byte[], ReactiveEnergy, System.Byte[], ActivePower, System.Byte[], ReactivePower, System.Byte[], ,
12:35:05.051, 1, Timestamp, System.Byte[], ActiveEnergy, System.Byte[], ReactiveEnergy, System.Byte[], ActivePower, System.Byte[], ReactivePower, System.Byte[], ,
12:35:10.042, 1, Timestamp, System.Byte[], ActiveEnergy, System.Byte[], ReactiveEnergy, System.Byte[], ActivePower, System.Byte[], ReactivePower, System.Byte[], ,
12:35:15.048, 1, Timestamp, System.Byte[], ActiveEnergy, System.Byte[], ReactiveEnergy, System.Byte[], ActivePower, System.Byte[], ReactivePower, System.Byte[], ,
12:35:20.043, 1, Timestamp, System.Byte[], ActiveEnergy, System.Byte[], ReactiveEnergy, System.Byte[], ActivePower, System.Byte[], ReactivePower, System.Byte[], ,
12:35:25.055, 1, Timestamp, System.Byte[], ActiveEnergy, System.Byte[], ReactiveEnergy, System.Byte[], ActivePower, System.Byte[], ReactivePower, System.Byte[], ,
12:36:02.017, Log started,
12:36:05.008, 1, Timestamp, System.Byte[], ActiveEnergy, System.Byte[], ReactiveEnergy, System.Byte[], ActivePower, System.Byte[], ReactivePower, System.Byte[], ,
12:36:10.027, 1, Timestamp, System.Byte[], ActiveEnergy, System.Byte[], ReactiveEnergy, System.Byte[], ActivePower, System.Byte[], ReactivePower, System.Byte[], ,
12:36:15.039, 1, Timestamp, System.Byte[], ActiveEnergy, System.Byte[], ReactiveEnergy, System.Byte[], ActivePower, System.Byte[], ReactivePower, System.Byte[], ,
12:36:20.038, 1, Timestamp, System.Byte[], ActiveEnergy, System.Byte[], ReactiveEnergy, System.Byte[], ActivePower, System.Byte[], ReactivePower, System.Byte[], ,
12:36:25.043, 1, Timestamp, System.Byte[], ActiveEnergy, System.Byte[], ReactiveEnergy, System.Byte[], ActivePower, System.Byte[], ReactivePower, System.Byte[], ,
12:36:30.043, 1, Timestamp, System.Byte[], ActiveEnergy, System.Byte[], ReactiveEnergy, System.Byte[], ActivePower, System.Byte[], ReactivePower, System.Byte[], ,
12:36:35.060, 1, Timestamp, System.Byte[], ActiveEnergy, System.Byte[], ReactiveEnergy, System.Byte[], ActivePower, System.Byte[], ReactivePower, System.Byte[], ,
12:36:40.057, 1, Timestamp, System.Byte[], ActiveEnergy, System.Byte[], ReactiveEnergy, System.Byte[], ActivePower, System.Byte[], ReactivePower, System.Byte[], ,
12:36:45.054, 1, Timestamp, System.Byte[], ActiveEnergy, System.Byte[], ReactiveEnergy, System.Byte[], ActivePower, System.Byte[], ReactivePower, System.Byte[], ,
12:36:50.055, 1, Timestamp, System.Byte[], ActiveEnergy, System.Byte[], ReactiveEnergy, System.Byte[], ActivePower, System.Byte[], ReactivePower, System.Byte[], ,
12:37:12.796, Log started,
12:37:13.160, 1, Timestamp, System.Byte[], ActiveEnergy, System.Byte[], ReactiveEnergy, System.Byte[], ActivePower, System.Byte[], ReactivePower, System.Byte[], ,
12:37:18.139, 1, Timestamp, System.Byte[], ActiveEnergy, System.Byte[], ReactiveEnergy, System.Byte[], ActivePower, System.Byte[], ReactivePower, System.Byte[], ,
12:37:23.144, 1, Timestamp, System.Byte[], ActiveEnergy, System.Byte[], ReactiveEnergy, System.Byte[], ActivePower, System.Byte[], ReactivePower, System.Byte[], ,
12:37:28.143, 1, Timestamp, System.Byte[], ActiveEnergy, System.Byte[], ReactiveEnergy, System.Byte[], ActivePower, System.Byte[], ReactivePower, System.Byte[], ,
12:37:33.147, 1, Timestamp, System.Byte[], ActiveEnergy, System.Byte[], ReactiveEnergy, System.Byte[], ActivePower, System.Byte[], ReactivePower, System.Byte[], ,
12:38:34.426, 1, Timestamp, System.Byte[], ActiveEnergy, System.Byte[], ReactiveEnergy, System.Byte[], ActivePower, System.Byte[], ReactivePower, System.Byte[], ,
12:38:39.422, 1, Timestamp, System.Byte[], ActiveEnergy, System.Byte[], ReactiveEnergy, System.Byte[], ActivePower, System.Byte[], ReactivePower, System.Byte[], ,
12:38:44.430, 1, Timestamp, System.Byte[], ActiveEnergy, System.Byte[], ReactiveEnergy, System.Byte[], ActivePower, System.Byte[], ReactivePower, System.Byte[], ,
12:38:49.437, 1, Timestamp, System.Byte[], ActiveEnergy, System.Byte[], ReactiveEnergy, System.Byte[], ActivePower, System.Byte[], ReactivePower, System.Byte[], ,
12:39:05.962, 1, Timestamp, System.Byte[], ActiveEnergy, System.Byte[], ReactiveEnergy, System.Byte[], ActivePower, System.Byte[], ReactivePower, System.Byte[], ,
12:39:10.955, 1, Timestamp, System.Byte[], ActiveEnergy, System.Byte[], ReactiveEnergy, System.Byte[], ActivePower, System.Byte[], ReactivePower, System.Byte[], ,
12:45:18.338, Log finished,
