19:27:13.074, Connected as master
19:27:13.077, -13 dBm, 28
19:27:13.254, -13 dBm, 28
19:27:13.450, -13 dBm, 28
19:27:13.707, -13 dBm, 27
19:27:13.964, -13 dBm, 27
19:27:14.221, -13 dBm, 27
19:27:14.478, -13 dBm, 30
19:27:14.735, -13 dBm, 25
19:27:14.991, -13 dBm, 28
19:27:15.248, -13 dBm, 29
19:27:15.505, -13 dBm, 28
19:27:15.762, -13 dBm, 27
19:28:58.667, Connected as master
19:28:58.669, -13 dBm, 23
19:28:58.936, -13 dBm, 27
19:28:58.967, -13 dBm, 27
19:28:59.224, -13 dBm, 27
19:28:59.481, -13 dBm, 28
19:28:59.738, -13 dBm, 28
19:28:59.994, -13 dBm, 27
19:29:00.252, -13 dBm, 28
19:29:00.759, -13 dBm, 28
19:29:01.016, -13 dBm, 28
19:29:01.273, -13 dBm, 28
19:29:01.530, -13 dBm, 26
19:29:01.786, -13 dBm, 25
19:29:02.043, -13 dBm, 28
19:29:02.300, -13 dBm, 29
19:29:02.557, -13 dBm, 29
19:29:02.814, -13 dBm, 27
19:29:03.071, -13 dBm, 27
19:29:34.657, Connected as master
19:29:34.912, -13 dBm, 26
19:29:35.302, -13 dBm, 26
19:29:35.429, -13 dBm, 27
19:29:35.682, -13 dBm, 29
19:29:35.939, -13 dBm, 27
19:29:36.196, -13 dBm, 28
19:29:36.453, -13 dBm, 28
19:29:36.710, -13 dBm, 27
19:29:36.966, -13 dBm, 28
19:29:37.223, -13 dBm, 28
19:29:37.480, -13 dBm, 28
19:29:37.736, -13 dBm, 28
19:29:37.994, -13 dBm, 28
19:29:38.251, -13 dBm, 27
19:29:38.507, -13 dBm, 27
19:29:38.764, -13 dBm, 30
19:29:39.021, -13 dBm, 27
19:29:39.278, -13 dBm, 26
19:29:39.535, -13 dBm, 25
19:29:39.793, -13 dBm, 28
19:29:40.049, -13 dBm, 27
19:29:40.306, -13 dBm, 27
19:29:40.562, -13 dBm, 28
19:29:40.819, -13 dBm, 28
19:29:52.511, Connected as slave
19:29:52.763, -12 dBm, 34
19:29:53.019, -12 dBm, 24
19:29:53.275, -12 dBm, 29
19:29:53.532, -12 dBm, 27
19:29:53.789, -12 dBm, 26
19:29:54.046, -12 dBm, 33
19:29:54.303, -12 dBm, 33
19:29:54.560, -12 dBm, 30
19:29:54.816, -12 dBm, 24
19:29:55.074, -12 dBm, 31
19:29:55.330, -12 dBm, 30
19:29:55.587, -12 dBm, 29
19:29:55.844, -12 dBm, 29
19:29:56.101, -12 dBm, 27
19:29:56.357, -12 dBm, 27
19:29:56.616, -12 dBm, 30
19:29:56.871, -12 dBm, 30
19:29:57.128, -12 dBm, 30
19:30:59.016, Connected as master
19:30:59.236, -13 dBm, 30
19:30:59.492, -13 dBm, 28
19:30:59.749, -13 dBm, 27
19:31:00.006, -12 dBm, 29
19:31:00.263, -12 dBm, 28
19:31:00.520, -13 dBm, 29
19:31:00.777, -13 dBm, 29
19:31:01.033, -13 dBm, 28
19:31:01.290, -13 dBm, 27
19:31:01.547, -13 dBm, 27
19:31:01.804, -12 dBm, 28
19:31:02.061, -12 dBm, 29
19:31:02.317, -13 dBm, 29
19:31:02.574, -13 dBm, 28
19:31:02.831, -13 dBm, 28
19:31:03.088, -13 dBm, 28
19:31:03.345, -13 dBm, 28
19:31:04.470, error
19:31:05.594, error
19:31:06.718, error
19:31:07.842, error
19:31:08.966, error
19:31:10.090, error
19:31:11.214, error
19:31:12.339, error
19:31:13.462, error
19:31:14.586, error
19:31:15.711, error
19:31:15.967, -13 dBm, 27
19:31:16.225, -13 dBm, 28
19:31:16.482, -13 dBm, 28
19:31:16.740, -13 dBm, 29
19:31:16.998, -12 dBm, 27
19:31:17.256, -13 dBm, 27
19:31:17.513, -13 dBm, 27
19:31:17.771, -12 dBm, 29
19:31:18.028, -13 dBm, 28
19:31:18.287, -13 dBm, 26
19:31:18.544, -13 dBm, 29
19:31:18.802, -13 dBm, 29
19:31:19.061, -12 dBm, 28
19:31:19.319, -13 dBm, 26
19:31:19.576, -12 dBm, 29
19:31:19.833, -13 dBm, 29
19:40:09.170, Connected as master
19:40:09.424, -23 dBm, 30
19:40:09.681, -23 dBm, 31
19:40:09.939, -23 dBm, 30
19:40:10.195, -22 dBm, 27
19:40:10.703, -22 dBm, 28
19:40:10.960, -22 dBm, 29
19:40:11.217, -23 dBm, 28
19:40:11.474, -23 dBm, 28
19:40:11.731, -22 dBm, 29
19:40:12.856, error
19:40:13.112, -28 dBm, 27
19:40:13.368, -23 dBm, 26
19:40:13.624, -23 dBm, 29
19:40:13.882, -23 dBm, 31
19:40:14.140, -23 dBm, 28
19:40:14.396, -23 dBm, 30
19:40:14.653, -23 dBm, 27
19:40:14.910, -23 dBm, 32
19:40:15.166, -23 dBm, 28
19:40:15.424, -22 dBm, 27
19:40:15.679, -23 dBm, 29
19:40:15.936, -23 dBm, 29
19:40:16.193, -23 dBm, 29
19:40:16.451, -23 dBm, 29
19:40:16.709, -23 dBm, 30
19:40:16.965, -23 dBm, 29
19:40:17.221, -23 dBm, 28
19:40:17.477, -23 dBm, 28
19:40:17.735, -23 dBm, 29
19:40:17.992, -23 dBm, 29
19:40:18.248, -25 dBm, 26
19:40:18.504, -27 dBm, 29
19:40:18.762, -23 dBm, 28
19:40:19.888, error
19:40:20.143, -25 dBm, 27
19:40:20.400, -25 dBm, 28
19:40:20.657, -25 dBm, 27
19:40:20.914, -26 dBm, 30
19:40:21.171, -27 dBm, 27
19:40:21.428, -27 dBm, 29
19:40:21.683, -26 dBm, 26
19:40:21.941, -26 dBm, 28
19:40:22.197, -26 dBm, 28
19:40:22.454, -26 dBm, 27
19:40:22.711, -26 dBm, 28
19:40:22.967, -27 dBm, 30
19:40:23.225, -27 dBm, 29
19:40:23.484, -27 dBm, 27
19:40:23.739, -27 dBm, 28
19:40:23.996, -28 dBm, 26
19:40:24.252, -28 dBm, 29
19:40:24.509, -28 dBm, 30
19:40:24.766, -26 dBm, 28
19:40:25.022, -25 dBm, 24
19:40:25.278, -24 dBm, 25
19:40:25.537, -23 dBm, 29
19:40:25.793, -24 dBm, 25
19:40:26.050, -23 dBm, 30
19:40:26.306, -23 dBm, 29
19:40:26.563, -23 dBm, 26
19:40:26.820, -23 dBm, 27
19:40:27.077, -23 dBm, 26
19:40:27.334, -23 dBm, 27
19:40:27.591, -23 dBm, 26
19:40:28.099, -25 dBm, 28
19:40:28.356, -25 dBm, 29
19:40:28.612, -25 dBm, 26
19:40:28.870, -25 dBm, 27
19:40:29.126, -24 dBm, 28
19:40:29.383, -23 dBm, 29
19:40:30.509, error
19:40:31.633, error
19:40:32.757, error
19:40:33.881, error
19:40:35.005, error
19:40:36.131, error
19:40:37.252, error
19:40:38.377, error
19:40:38.632, -40 dBm, 26
19:40:38.889, -40 dBm, 29
19:40:39.146, -34 dBm, 25
19:40:39.401, -30 dBm, 28
19:40:39.659, -34 dBm, 28
19:40:39.916, -34 dBm, 30
19:40:40.173, -28 dBm, 28
19:40:40.429, -23 dBm, 29
19:40:40.686, -25 dBm, 28
19:40:40.943, -26 dBm, 28
19:40:41.201, -24 dBm, 26
19:40:41.457, -25 dBm, 28
19:40:41.714, -26 dBm, 27
19:40:41.970, -25 dBm, 28
19:40:42.227, -26 dBm, 27
19:40:42.484, -27 dBm, 29
19:40:42.741, -31 dBm, 29
19:40:42.998, -30 dBm, 26
19:40:43.255, -29 dBm, 27
19:40:43.511, -34 dBm, 29
19:40:43.768, -31 dBm, 27
19:40:44.276, -45 dBm, 28
19:40:44.534, -30 dBm, 27
19:40:44.790, -45 dBm, 27
19:40:45.047, -36 dBm, 27
19:40:45.303, -37 dBm, 28
19:40:45.560, -39 dBm, 30
19:40:45.817, -35 dBm, 28
19:40:46.074, -37 dBm, 28
19:40:46.331, -29 dBm, 28
19:40:46.589, -26 dBm, 28
19:40:46.844, -26 dBm, 28
19:40:47.101, -27 dBm, 28
19:40:47.357, -27 dBm, 28
19:40:47.615, -28 dBm, 27
19:40:47.872, -26 dBm, 26
