19:27:13.074, Connected as master
19:27:13.077, -13 dBm, 28
19:27:13.254, -13 dBm, 28
19:27:13.450, -13 dBm, 28
19:27:13.707, -13 dBm, 27
19:27:13.964, -13 dBm, 27
19:27:14.221, -13 dBm, 27
19:27:14.478, -13 dBm, 30
19:27:14.735, -13 dBm, 25
19:27:14.991, -13 dBm, 28
19:27:15.248, -13 dBm, 29
19:27:15.505, -13 dBm, 28
19:27:15.762, -13 dBm, 27
19:28:58.667, Connected as master
19:28:58.669, -13 dBm, 23
19:28:58.936, -13 dBm, 27
19:28:58.967, -13 dBm, 27
19:28:59.224, -13 dBm, 27
19:28:59.481, -13 dBm, 28
19:28:59.738, -13 dBm, 28
19:28:59.994, -13 dBm, 27
19:29:00.252, -13 dBm, 28
19:29:00.759, -13 dBm, 28
19:29:01.016, -13 dBm, 28
19:29:01.273, -13 dBm, 28
19:29:01.530, -13 dBm, 26
19:29:01.786, -13 dBm, 25
19:29:02.043, -13 dBm, 28
19:29:02.300, -13 dBm, 29
19:29:02.557, -13 dBm, 29
19:29:02.814, -13 dBm, 27
19:29:03.071, -13 dBm, 27
19:29:34.657, Connected as master
19:29:34.912, -13 dBm, 26
19:29:35.302, -13 dBm, 26
19:29:35.429, -13 dBm, 27
19:29:35.682, -13 dBm, 29
19:29:35.939, -13 dBm, 27
19:29:36.196, -13 dBm, 28
19:29:36.453, -13 dBm, 28
19:29:36.710, -13 dBm, 27
19:29:36.966, -13 dBm, 28
19:29:37.223, -13 dBm, 28
19:29:37.480, -13 dBm, 28
19:29:37.736, -13 dBm, 28
19:29:37.994, -13 dBm, 28
19:29:38.251, -13 dBm, 27
19:29:38.507, -13 dBm, 27
19:29:38.764, -13 dBm, 30
19:29:39.021, -13 dBm, 27
19:29:39.278, -13 dBm, 26
19:29:39.535, -13 dBm, 25
19:29:39.793, -13 dBm, 28
19:29:40.049, -13 dBm, 27
19:29:40.306, -13 dBm, 27
19:29:40.562, -13 dBm, 28
19:29:40.819, -13 dBm, 28
19:29:52.511, Connected as slave
19:29:52.763, -12 dBm, 34
19:29:53.019, -12 dBm, 24
19:29:53.275, -12 dBm, 29
19:29:53.532, -12 dBm, 27
19:29:53.789, -12 dBm, 26
19:29:54.046, -12 dBm, 33
19:29:54.303, -12 dBm, 33
19:29:54.560, -12 dBm, 30
19:29:54.816, -12 dBm, 24
19:29:55.074, -12 dBm, 31
19:29:55.330, -12 dBm, 30
19:29:55.587, -12 dBm, 29
19:29:55.844, -12 dBm, 29
19:29:56.101, -12 dBm, 27
19:29:56.357, -12 dBm, 27
19:29:56.616, -12 dBm, 30
19:29:56.871, -12 dBm, 30
19:29:57.128, -12 dBm, 30
