00:07:13.933, Connected as slave
00:07:14.194, -10 dBm, 31
00:07:14.447, -10 dBm, 28
00:07:14.961, -11 dBm, 28
00:07:15.218, -10 dBm, 30
00:07:15.478, -10 dBm, 29
00:07:15.731, -10 dBm, 28
00:07:15.988, -10 dBm, 30
00:07:16.245, -10 dBm, 29
00:07:16.502, -10 dBm, 31
00:07:16.759, -10 dBm, 27
00:07:17.016, -10 dBm, 31
00:07:17.271, -10 dBm, 31
00:07:17.529, -10 dBm, 28
00:07:17.786, -10 dBm, 29
00:07:18.044, -11 dBm, 30
00:07:18.300, -10 dBm, 29
00:07:18.557, -10 dBm, 31
00:07:18.813, -10 dBm, 31
00:07:19.070, -10 dBm, 32
00:07:19.328, -10 dBm, 30
00:07:19.585, -11 dBm, 24
00:07:19.842, -10 dBm, 30
00:07:20.098, -10 dBm, 30
00:07:20.355, -10 dBm, 29
00:07:20.612, -10 dBm, 31
00:07:20.869, -11 dBm, 29
00:07:21.125, -10 dBm, 29
00:07:21.382, -10 dBm, 29
00:07:21.640, -10 dBm, 28
00:07:44.227, Connected as slave
00:07:44.242, -10 dBm, 28
00:07:44.497, -10 dBm, 30
00:07:44.754, -11 dBm, 29
00:07:45.014, -11 dBm, 30
00:07:45.268, -10 dBm, 29
00:07:45.524, -10 dBm, 30
00:07:45.781, -10 dBm, 27
00:07:46.037, -10 dBm, 29
00:07:46.294, -10 dBm, 27
00:09:16.051, -11 dBm, -11 dBm,OnRxDone
00:09:16.285, -10 dBm, 29
00:09:16.539, -10 dBm, 30
00:09:16.796, -10 dBm, 31
00:09:17.052, -10 dBm, 31
00:09:17.309, -11 dBm, 29
00:09:17.566, -10 dBm, 29
00:09:17.852, -10 dBm, 29
00:09:18.080, -10 dBm, 29
00:09:18.337, -10 dBm, 27
00:09:18.593, -10 dBm, 30
00:09:29.964, error
00:09:31.089, error
00:09:32.212, error
00:09:33.336, error
00:43:00.314, -9 dBm, 22
00:43:00.467, -9 dBm, 25
00:43:00.867, -9 dBm, 26
00:43:00.980, -10 dBm, 24
00:43:01.314, -9 dBm, 23
00:43:01.493, -9 dBm, 23
00:43:01.751, -9 dBm, 24
00:44:52.505, -11 dBm, 30
00:44:52.742, -11 dBm, 31
00:44:53.022, -11 dBm, 29
00:44:53.259, -11 dBm, 29
00:44:53.513, -11 dBm, 29
00:44:53.845, -11 dBm, 30
00:44:54.027, -11 dBm, 31
00:44:54.295, -11 dBm, 28
00:44:54.542, -11 dBm, 30
00:54:08.539, -11 dBm, 29
00:54:08.645, -12 dBm, 27
00:54:08.896, -11 dBm, 27
00:54:09.286, -11 dBm, 27
00:54:09.413, -11 dBm, 26
00:54:09.669, -10 dBm, 25
00:54:09.927, -11 dBm, 28
00:54:14.840, -10 dBm, 21
00:54:14.870, -10 dBm, 22
00:54:15.074, -10 dBm, 25
00:54:15.386, -11 dBm, 28
00:54:15.596, -10 dBm, 25
00:54:19.872, -9 dBm, 25
00:54:20.101, -9 dBm, 27
00:54:20.593, -10 dBm, 28
00:54:20.625, -9 dBm, 24
00:54:20.874, -9 dBm, 24
00:54:21.136, -9 dBm, 28
00:56:44.543, -11 dBm, -11 dBm, SnrVOnRxDone
00:56:44.550, -9 dBm, 22
00:56:44.796, -9 dBm, 24
00:56:45.053, -9 dBm, 24
00:56:45.310, -9 dBm, 22
00:56:45.566, -9 dBm, 25
00:57:37.993, -9 dBm, 24
00:57:38.203, -9 dBm, 26
00:57:38.460, -9 dBm, 23
00:57:38.838, -9 dBm, 23
00:57:38.974, -10 dBm, 23
00:57:39.232, -9 dBm, 23
00:57:39.500, -9 dBm, 26
00:57:39.744, -9 dBm, 22
00:57:40.022, -9 dBm, 23
00:57:40.258, -9 dBm, 23
00:57:40.518, -9 dBm, 24
01:15:46.077, error
01:15:46.081, error
01:15:46.186, error
01:15:46.190, -9 dBm, 27
01:15:46.194, -9 dBm, 27
01:15:46.198, -9 dBm, 27
01:15:46.313, -9 dBm, 27
01:15:46.317, -9 dBm, 27
01:15:46.445, -9 dBm, 27
01:15:46.449, -9 dBm, 26
01:15:46.453, -9 dBm, 26
01:15:46.456, -9 dBm, 26
01:15:46.570, -9 dBm, 26
01:15:46.574, -9 dBm, 26
01:15:46.699, -9 dBm, 26
01:15:46.705, -9 dBm, 25
01:15:46.710, -9 dBm, 25
01:15:46.713, -9 dBm, 25
01:15:46.826, -9 dBm, 25
01:15:46.830, -9 dBm, 25
01:15:46.962, -9 dBm, 25
01:15:46.975, -9 dBm, 28
01:15:46.980, -9 dBm, 28
01:15:46.984, -9 dBm, 28
01:15:47.083, -9 dBm, 28
01:15:47.087, -9 dBm, 28
01:15:47.213, -9 dBm, 28
01:15:47.218, -9 dBm, 24
01:15:47.222, -9 dBm, 24
01:15:47.226, -9 dBm, 24
01:15:47.340, -9 dBm, 24
01:15:47.344, -9 dBm, 24
01:15:47.470, -9 dBm, 24
01:15:47.474, -9 dBm, 23
01:15:47.484, -9 dBm, 23
01:15:47.487, -9 dBm, 23
01:15:47.597, -9 dBm, 23
01:15:47.601, -9 dBm, 23
01:15:47.727, -9 dBm, 23
01:15:47.732, -9 dBm, 25
01:15:47.735, -9 dBm, 25
01:15:47.739, -9 dBm, 25
01:15:47.854, -9 dBm, 25
01:15:47.857, -9 dBm, 25
01:15:47.984, -9 dBm, 25
01:15:47.995, -9 dBm, 29
01:15:48.000, -9 dBm, 29
01:15:48.007, -9 dBm, 29
01:15:48.111, -9 dBm, 29
01:15:48.115, -9 dBm, 29
01:15:48.240, -9 dBm, 29
